especies,tamanho,habitat,grupo trofico,tipo alimentar,seletividade,reproducao,
Centropyxis ecornis,0.25,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Centropyxis discoides,0.25,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Centropyxis marsupiformes,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Centropyxis minuta,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Cyclopyxis impressa,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Cyphoderia ampulla,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia achlora,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia acuminata,0.25,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia corona,0.20,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia cylindrus,0.20,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia distenda,0.18,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia kempnyi,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia limnetica,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia litophila,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia lobostoma,0.12,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia oblonga,0.20,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia penardi,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Difflugia tuberculata,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Euglypha ciliata,0.10,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Euglypha denticulata,0.10,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Lesquereusia spiralis,0.12,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Netzelia tuberculata,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Netzelia wailesi,0.15,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Stentor sp.,0.15,litoraneo,onivoro P,fagocitose C,moderada,assexuada,
Strombilidium sp.,0.10,litoraneo,onivoro P,fagocitose C,moderada,assexuada,
Trinema lineare,0.05,litoraneo,onivoro P,fagocitose P,moderada,assexuada,
Vorticella sp.,0.15,litoraneo,onivoro P,fagocitose C,moderada,assexuada,
